epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,7696.51,0.83095,0.75512,1.20911,0.85025,0.90848,0.91666,0.69092,0.86907,0.73092,1.23488,0.000911,0.000911,0.000911
57,7817.18,0.85752,0.73527,1.21728,0.85862,0.85333,0.90487,0.68041,0.8808,0.68609,1.27792,0.0008912,0.0008912,0.0008912
58,7938.24,0.83434,0.7149,1.19269,0.82694,0.86,0.87575,0.64782,0.92887,0.74718,1.30015,0.0008714,0.0008714,0.0008714
59,8058.43,0.83544,0.73414,1.19853,0.82789,0.79333,0.86,0.62696,0.96687,0.75386,1.33274,0.0008516,0.0008516,0.0008516
60,8177.83,0.83962,0.70075,1.19919,0.78146,0.89333,0.90333,0.66519,0.89556,0.69286,1.27073,0.0008318,0.0008318,0.0008318
61,8297.04,0.82625,0.7365,1.20162,0.88345,0.85911,0.91725,0.67977,0.88302,0.67312,1.25502,0.000812,0.000812,0.000812
62,8418.42,0.85704,0.73803,1.19664,0.85068,0.9,0.9073,0.67233,0.90644,0.75176,1.27307,0.0007922,0.0007922,0.0007922
63,8538.47,0.82358,0.71596,1.1812,0.89451,0.82,0.91283,0.67493,0.94188,0.70457,1.29577,0.0007724,0.0007724,0.0007724
64,8658.61,0.81172,0.69045,1.17242,0.85577,0.92,0.92337,0.70119,0.84781,0.64918,1.2057,0.0007526,0.0007526,0.0007526
65,8777.97,0.81535,0.6721,1.16834,0.84847,0.8959,0.92799,0.71863,0.85193,0.62071,1.21552,0.0007328,0.0007328,0.0007328
66,8897.63,0.80456,0.67614,1.17832,0.88443,0.86,0.92976,0.71013,0.84189,0.65203,1.21531,0.000713,0.000713,0.000713
67,9017.88,0.79601,0.70388,1.16909,0.84465,0.90622,0.91506,0.67974,0.89997,0.66456,1.27795,0.0006932,0.0006932,0.0006932
68,9136.25,0.79157,0.66781,1.16902,0.86949,0.85333,0.91627,0.70474,0.88603,0.68353,1.2585,0.0006734,0.0006734,0.0006734
69,9256.23,0.79904,0.6859,1.19057,0.87946,0.87554,0.92308,0.70737,0.87171,0.65618,1.27185,0.0006536,0.0006536,0.0006536
70,9376,0.78007,0.64898,1.15291,0.8777,0.8612,0.91557,0.6991,0.88353,0.62913,1.26144,0.0006338,0.0006338,0.0006338
71,9494.51,0.79255,0.63565,1.1702,0.90757,0.85333,0.91763,0.69403,0.88883,0.64727,1.23864,0.000614,0.000614,0.000614
72,9615.17,0.78622,0.65021,1.15516,0.87054,0.86667,0.90423,0.7055,0.86677,0.64509,1.25044,0.0005942,0.0005942,0.0005942
73,9734.2,0.74246,0.61179,1.15247,0.87392,0.82667,0.89917,0.68411,0.86846,0.67421,1.23656,0.0005744,0.0005744,0.0005744
74,9853.66,0.77926,0.63353,1.15454,0.87574,0.79877,0.89252,0.67448,0.88686,0.65879,1.26598,0.0005546,0.0005546,0.0005546
75,9972.19,0.76194,0.64702,1.15562,0.93104,0.81009,0.92487,0.71322,0.84148,0.6298,1.21817,0.0005348,0.0005348,0.0005348
76,10091.7,0.74526,0.64575,1.16079,0.88509,0.87296,0.92055,0.71599,0.83217,0.64045,1.20517,0.000515,0.000515,0.000515
77,10212.3,0.77166,0.63186,1.1483,0.88506,0.87268,0.91368,0.70081,0.84359,0.62286,1.23392,0.0004952,0.0004952,0.0004952
78,10331.6,0.75855,0.62476,1.13898,0.82528,0.86,0.90412,0.70105,0.85247,0.62544,1.22063,0.0004754,0.0004754,0.0004754
79,10452,0.7385,0.59633,1.12546,0.85673,0.86,0.91282,0.69687,0.85315,0.64681,1.23008,0.0004556,0.0004556,0.0004556
80,10571.8,0.7527,0.61787,1.14851,0.86874,0.83835,0.90388,0.69699,0.87232,0.64641,1.2331,0.0004358,0.0004358,0.0004358
81,10691.2,0.74331,0.59738,1.13188,0.89267,0.84667,0.9154,0.71064,0.85672,0.64106,1.22941,0.000416,0.000416,0.000416
82,10811.7,0.72833,0.6118,1.13375,0.88428,0.86667,0.92097,0.70173,0.86334,0.62172,1.24688,0.0003962,0.0003962,0.0003962
83,10931.5,0.76509,0.6424,1.15089,0.88859,0.87333,0.92653,0.71839,0.83623,0.59837,1.22503,0.0003764,0.0003764,0.0003764
84,11051.5,0.73836,0.60582,1.12389,0.87685,0.88667,0.91833,0.71368,0.83552,0.61403,1.22764,0.0003566,0.0003566,0.0003566
85,11170.6,0.70257,0.57785,1.10495,0.89745,0.87515,0.92457,0.72499,0.81052,0.59855,1.21167,0.0003368,0.0003368,0.0003368
86,11289.3,0.732,0.60164,1.12091,0.89683,0.88,0.93242,0.73454,0.82216,0.5933,1.20471,0.000317,0.000317,0.000317
